"pitches","player_id","player_name","total_pitches","pitch_percent","ba","iso","babip","slg","woba","xwoba","xba","hits","abs","launch_speed","launch_angle","spin_rate","velocity","effective_speed","whiffs","swings","takes","eff_min_vel","release_extension","pos3_int_start_distance","pos4_int_start_distance","pos5_int_start_distance","pos6_int_start_distance","pos7_int_start_distance","pos8_int_start_distance","pos9_int_start_distance","pitcher_run_exp","run_exp","bat_speed","swing_length","pa","bip","singles","doubles","triples","hrs","so","k_percent","bb","bb_percent","api_break_z_with_gravity","api_break_z_induced","api_break_x_arm","api_break_x_batter_in","hyper_speed","bbdist","hardhit_percent","barrels_per_bbe_percent","barrels_per_pa_percent","release_pos_z","release_pos_x","plate_x","plate_z","obp","barrels_total","batter_run_value_per_100","xobp","xslg","pitcher_run_value_per_100","xbadiff","xobpdiff","xslgdiff","wobadiff","swing_miss_percent","arm_angle","attack_angle","attack_direction","swing_path_tilt","rate_ideal_attack_angle","intercept_ball_minus_batter_pos_x_inches","intercept_ball_minus_batter_pos_y_inches"
587,642180,"Wade, Tyler",587,100,0.217,0.022,0.275,0.239,0.242,0.281,0.244,30,138,79.5,9.6,2201,89.5,89.75,54,259,328,0.29999999999999716,6.49,113,146,104,151,283,316,297,"7.978","-7.978","61.9","6.3",156,113,27,3,0,0,29,18.6,11,7.1,2.3299,0.61424,0.44343,-0.36551,"89.5",148,17.699115044247787,1.7699115044247788,1.282051282051282,5.7,-1.45,-0.08,2.26,0.285,2,"-1.35911414",0.309,0.31,"1.35911414",-0.027,-0.02400000000000002,-0.071,-0.039,20.8,"38.0",4.4084339401619514,0.8174803387326832,32.57981554556103,0.44907407407407407,35.39314714215458,26.152965401164725
569,808982,"Lee, Jung Hoo",569,100,0.262,0.069,0.273,0.331,0.284,0.319,0.278,38,145,89.1,9.2,2239,88.7,88.9,24,250,319,0.20000000000000284,6.45,116,146,107,150,287,318,300,"3.159","-3.159","69.0","7.3",158,134,32,4,0,2,13,8.2,10,6.3,2.33063,0.61915,0.32337,-0.10284,"92.6",141,41.7910447761194,4.477611940298507,3.79746835443038,5.79,-0.77,-0.12,2.26,0.31,6,"-0.555184534",0.326,0.404,"0.555184534",-0.016,-0.016000000000000014,-0.073,-0.035,9.6,"37.9",5.63682654420738,-4.017114277437389,37.384219129735854,0.3894230769230769,32.36528394554266,32.17268934742861
568,687363,"Scott II, Victor",568,100,0.179,0.103,0.233,0.283,0.221,0.246,0.205,26,145,85.1,11,2285,89.8,90.17,75,287,281,0.4000000000000057,6.46,107,145,98,150,285,317,298,"7.621","-7.621","63.8","6.3",155,105,15,9,0,2,42,27.1,6,3.9,2.21023,0.65347,0.37643,-0.2378,"91.0",143,33.33333333333333,5.714285714285714,3.870967741935484,5.78,-0.77,-0.24,2.35,0.219,6,"-1.341725352",0.245,0.309,"1.341725352",-0.026,-0.025999999999999995,-0.026,-0.025,26.1,"39.1",8.729485524053633,-3.4674581531142854,33.06133280306505,0.4592274678111588,33.273336825096614,27.213764391641796
567,669242,"Edman, Tommy",567,100,0.237,0.18,0.257,0.417,0.307,0.266,0.217,33,139,87.6,11.4,2237,89.4,89.63,63,262,305,0.19999999999998863,6.38,110,148,113,150,293,318,301,"-1.1","1.1","68.1","6.8",153,111,21,5,1,6,30,19.6,11,7.2,2.34575,0.54426,0.38087,-0.38204,"91.0",150,35.13513513513514,3.6036036036036037,2.6143790849673203,5.71,-1.19,-0.17,2.26,0.294,4,"0.194003527",0.277,0.316,"-0.194003527",0.02,0.01699999999999996,0.101,0.041,24,"37.2",7.9505496960319135,2.7017262360313694,26.891958486196362,0.5038167938931297,36.02126846779559,28.122089326311094
565,596103,"Slater, Austin",882,64.1,0.185,0.037,0.257,0.222,0.254,0.301,0.224,20,108,87.8,7.8,2188,88.8,89.11,71,248,317,0.29999999999999716,6.43,108,151,116,147,305,321,291,"5.823","-5.823","69.9","6.7",133,75,18,1,0,1,37,27.8,18,13.5,2.19996,0.72115,0.43332,-0.31278,"91.2",162,33.33333333333333,4,2.2556390977443606,5.92,1.02,0.13,2.38,0.308,3,"-1.030619469",0.343,0.308,"1.030619469",-0.039,-0.03500000000000003,-0.086,-0.047,28.6,"40.3",10.87348367666818,10.092809467308278,38.15937953943487,0.4470046082949309,33.55962008048677,28.591760328545703
560,666185,"Carlson, Dylan",1110,50.5,0.198,0.041,0.276,0.24,0.237,0.242,0.192,24,121,85.7,17.6,2201,89.3,89.53,93,279,281,0.20000000000000284,6.42,108,148,115,148,303,323,296,"8.478","-8.478","67.4","7.1",138,87,19,5,0,0,37,26.8,12,8.7,2.25404,0.64163,0.45977,-0.45977,"90.2",163,20.689655172413794,2.2988505747126435,1.4492753623188406,5.75,0.31,0.01,2.36,0.275,2,"-1.513928571",0.271,0.255,"1.513928571",0.006,0.0040000000000000036,-0.015,-0.005,33.3,"38.9",11.720159450198091,-1.2051446938018127,38.07660873307739,0.4522058823529412,35.083158415434745,28.72146694580594
544,682641,"Matos, Luis",544,100,0.213,0.133,0.221,0.347,0.25,0.267,0.24,32,150,86.9,14.1,2267,89.9,90.22,46,295,249,0.29999999999999716,6.45,106,150,116,146,301,319,291,"5.366","-5.366","70.2","7.2",155,127,22,5,0,5,24,15.5,4,2.6,2.25515,0.5981,0.34228,-0.02654,"92.1",152,37.00787401574803,3.937007874015748,3.225806451612903,5.82,-0.61,0.27,2.28,0.232,5,"-0.986397059",0.258,0.355,"0.986397059",-0.027,-0.025999999999999995,-0.008,-0.017,15.6,"37.5",5.677633891851296,-11.006514333723025,25.236885627494814,0.5323741007194245,33.268257705085574,33.740622586595954
531,656180,"Adams, Riley",531,100,0.224,0.112,0.296,0.336,0.275,0.281,0.219,26,116,89.9,13.6,2232,88.6,89.09,74,263,268,0.5,6.54,108,151,122,147,301,319,290,"2.683","-2.683","73.9","8.1",129,83,18,5,1,2,35,27.1,9,7,2.42273,0.52193,0.36151,-0.20737,"91.9",137,43.373493975903614,7.228915662650602,4.651162790697675,5.85,-0.15,0.21,2.25,0.287,6,"-0.50527307",0.287,0.341,"0.50527307",0.005,0,-0.005,-0.006,28.1,"38.8",8.455106941110108,-2.396275853466604,36.20307993367699,0.3836734693877551,39.325866147521886,27.000637524513987
525,665953,"Chaparro, Andrés",525,100,0.215,0.198,0.237,0.413,0.301,0.301,0.226,26,121,87.8,16.6,2235,88.4,88.66,70,282,243,0.29999999999999716,6.46,108,151,124,147,306,326,293,"3.201","-3.201","70.6","7.1",132,97,10,12,0,4,24,18.2,7,5.3,2.39975,0.56029,0.32417,-0.08941,"91.2",157,32.98969072164948,6.185567010309279,4.545454545454546,5.8,-0.37,0.24,2.28,0.28,6,"-0.609714286",0.29,0.392,"0.609714286",-0.011,-0.009999999999999953,0.021,0,24.8,"38.1",7.896035992708786,-9.67249160918026,33.19383663930596,0.4107142857142857,37.12968609688222,32.151506052120716
521,680779,"Davis, Henry",521,100,0.144,0.067,0.233,0.212,0.213,0.226,0.156,15,104,84.4,16.8,2248,89.7,90.06,89,245,276,0.3999999999999915,6.57,108,152,122,146,303,319,291,"9.835","-9.835","70.1","7.2",122,62,10,4,0,1,45,36.9,13,10.7,2.28852,0.58319,0.38732,0.15699,"91.6",152,35.483870967741936,4.838709677419355,2.459016393442623,5.71,-0.95,0.21,2.34,0.242,3,"-1.887715931",0.254,0.228,"1.887715931",-0.012,-0.01200000000000001,-0.016,-0.013,36.3,"37.9",10.358984771336678,-6.60363424391979,26.20041725219021,0.595,39.36122353045989,30.84930063895922
520,686611,"Crews, Dylan",520,100,0.218,0.134,0.253,0.353,0.283,0.325,0.253,26,119,89,8.7,2281,87.6,88.01,53,232,288,0.4000000000000057,6.53,109,149,120,148,307,324,292,"3.311","-3.311","70.5","7.4",132,94,17,5,1,3,26,19.7,11,8.3,2.47933,0.53476,0.1605,-0.13586,"92.2",134,44.680851063829785,6.382978723404255,4.545454545454546,5.78,-0.66,0.22,2.26,0.288,6,"-0.636730769",0.321,0.418,"0.636730769",-0.035,-0.03300000000000003,-0.065,-0.042,22.8,"38.5",9.491779558479355,-2.0311311620263792,26.89145826994326,0.5043103448275862,37.933610963500854,29.19120508165204
519,687529,"McCray, Grant",519,100,0.202,0.177,0.317,0.379,0.266,0.252,0.192,25,124,86.7,4.7,2241,89.2,89.32,120,275,244,0.09999999999999432,6.31,113,147,104,150,291,322,301,"2.727","-2.727","70.4","7.1",130,68,15,3,2,5,56,43.1,6,4.6,2.34073,0.57188,0.38514,-0.25915,"91.8",150,44.11764705882353,11.76470588235294,6.153846153846154,5.79,-1.12,-0.16,2.43,0.238,8,"-0.525433526",0.23,0.346,"0.525433526",0.01,0.00799999999999998,0.033,0.014,43.6,"36.5",6.375452334652534,0.9370251075512139,35.12591966738405,0.3643410852713178,35.48008927149041,29.58622543169129
516,542194,"Bethancourt, Christian",516,100,0.209,0.158,0.245,0.367,0.263,0.267,0.218,29,139,86.1,11.3,2273,88.4,88.67,100,317,199,0.29999999999999716,6.44,110,150,119,146,303,321,291,"6.289","-6.289","68.3","7.3",147,105,17,7,0,5,36,24.5,5,3.4,2.44403,0.51902,0.2539,-0.11095,"91.5",136,41.904761904761905,7.6190476190476195,5.442176870748299,5.67,-0.62,0.2,2.31,0.241,8,"-1.21879845",0.25,0.36,"1.21879845",-0.009,-0.009000000000000008,0.007,-0.004,31.5,"34.9",8.333364245562922,-6.442068522480592,27.329542530168737,0.5261324041811847,38.30833257242065,29.743453666277563
510,620443,"Torrens, Luis",510,100,0.229,0.144,0.273,0.373,0.292,0.318,0.259,27,118,89.6,13,2224,88.6,89.08,52,237,273,0.5,6.46,108,150,121,147,306,324,291,"2.357","-2.357","70.2","7.3",130,91,16,8,0,3,28,21.5,9,6.9,2.5108,0.51774,0.28244,0.01406,"91.7",152,46.15384615384615,6.593406593406594,4.615384615384616,5.76,-0.5,0.13,2.31,0.292,6,"-0.462156863",0.322,0.4,"0.462156863",-0.03,-0.030000000000000027,-0.027,-0.026,21.9,"38.8",11.136018521028355,0.7902460691192364,29.777772630158307,0.6153846153846154,37.82952509111105,28.008872631310396
506,621512,"Nido, Tomás",506,100,0.192,0.123,0.226,0.315,0.231,0.282,0.217,25,130,87.4,13,2274,88,88.26,110,306,200,0.29999999999999716,6.46,109,151,122,147,304,320,291,"5.9","-5.9","69.3","8.0",140,100,17,4,0,4,35,25,5,3.6,2.46842,0.52392,0.19465,-0.15195,"91.6",166,44,12,8.571428571428571,5.83,-0.43,0.3,2.23,0.219,12,"-1.166007905",0.246,0.41,"1.166007905",-0.025,-0.026999999999999996,-0.095,-0.051,35.9,"39.3",14.488488653113501,2.3733996421495966,32.98080289130159,0.5392491467576792,42.1089704115469,26.916439888433583
501,645444,"Herrera, Jose",501,100,0.227,0.093,0.3,0.32,0.271,0.25,0.214,22,97,79,5.8,2258,89.4,89.76,50,207,294,0.3999999999999915,6.49,113,147,117,150,291,319,296,"2.797","-2.797","62.7","6.7",114,78,16,4,1,1,27,23.7,9,7.9,2.26796,0.62726,0.3704,-0.3704,"90.1",143,23.076923076923077,0,0,5.74,-0.41,-0.04,2.36,0.29,0,"-0.558283433",0.279,0.268,"0.558283433",0.013,0.010999999999999954,0.052,0.021,24.2,"38.6",5.650815299951224,-8.790034730247719,35.70156685393497,0.4527363184079602,35.301844133030315,30.791855926230397
493,669743,"Call, Alex",493,100,0.343,0.182,0.403,0.525,0.412,0.314,0.242,34,99,88,12.5,2239,89.8,90.22,40,213,280,0.4000000000000057,6.55,106,149,112,145,301,317,286,"-9.226","9.226","64.9","6.6",113,80,22,9,0,3,19,16.8,12,10.6,2.26032,0.60347,0.43408,0.06454,"90.6",153,32.5,5,3.5398230088495577,5.91,-0.56,0.14,2.26,0.425,4,"1.871399594",0.336,0.362,"-1.871399594",0.101,0.08899999999999997,0.163,0.098,18.8,"37.5",6.767681793980703,4.523490968828975,31.470342614984045,0.44660194174757284,37.71425969638283,27.81681023008336
