h_team_wins,day_night,LAN,SDN,COL,ARI,WAS,CIN,SLN,PIT,MIA,SFN,ANA,BAL,DET,CHA,NYA,HOU,MIN,KCA,CLE,OAK,BOS,SEA,TOR,TBA,CHN,TEX,MIL,NYN,ATL,PHI,SEO01,PHO01,CIN09,LOS03,MIA02,SAN02,BAL12,CHI12,HOU03,KAN06,OAK01,SEA03,STP01,ARL03,NYC20,PHI13,CHI11,WAS11,MIL06,STL10,MIN04,ATL03,DEN02,PIT08,SFO03,ANA01,DET05,NYC21,CLE08,TOR02,BOS07,MEX02,LON01,BIR01,WIL02,v_batting_xwoba,h_batting_xwoba,v_batting_k_percent,h_batting_k_percent,v_batting_bb_percent,h_batting_bb_percent,v_batting_barrels_per_pa_percent,h_batting_barrels_per_pa_percent,v_batting_hardhit_percent,h_batting_hardhit_percent,v_batting_launch_speed,h_batting_launch_speed,v_batting_bat_speed,h_batting_bat_speed,v_pitching_xwoba,h_pitching_xwoba,v_pitching_k_percent,h_pitching_k_percent,v_pitching_bb_percent,h_pitching_bb_percent,v_pitching_hardhit_percent,h_pitching_hardhit_percent,v_pitching_barrels_per_bbe_percent,h_pitching_barrels_per_bbe_percent,v_pitching_velocity,h_pitching_velocity,v_pitching_spin_rate,h_pitching_spin_rate,v_pitching_swing_miss_percent,h_pitching_swing_miss_percent
0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3156,0.2904,24.3333,25.53,9.0556,7.9,4.8827,4.75,40.2687,35.6014,88.0778,88.14,69.8111,69.73,0.325,0.305,22.3,21.2,10.7,7.9,37.7953,35.4839,8.6614,5.6926,87.6,92.4,2252,2233,23.6,22.0
0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3322,0.3246,23.4333,19.9889,7.9667,7.9778,6.9602,5.0553,45.0387,39.3949,90.6,88.2,71.4,69.4111,0.298,0.3,23.3,23.9,7.9,6.1,34.5756,38.2456,4.9689,7.193,87.0,86.8,2277,2317,24.1,25.2
0,1,0,1,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3081,0.3323,21.7111,19.1,8.4778,7.6111,5.4809,5.9383,37.9087,39.2663,88.0222,88.4,69.9889,68.6667,0.338,0.283,20.0,29.4,9.6,8.5,42.2492,38.5928,9.4225,8.5288,89.4,90.9,1822,2672,24.6,32.4
1,1,0,0,0,0,0,0,0,0,0,0,-1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3137,0.321,25.2222,20.08,9.0667,6.7,5.3261,5.9016,39.6124,41.0974,88.9222,89.26,68.6444,70.64,0.333,0.299,17.6,26.5,8.8,7.3,41.8994,39.6875,8.5661,7.8125,89.4,89.5,2185,2269,24.5,30.0
0,1,0,0,0,0,0,0,0,0,0,0,0,0,-1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3072,0.2709,22.92,22.9222,8.13,6.2667,5.0173,3.6687,38.7575,34.2275,88.66,87.6889,69.28,67.9444,0.323,0.329,19.8,24.3,6.4,12.4,36.0795,35.1852,8.2386,9.7222,84.9,87.9,2119,2555,23.9,24.8
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3392,0.3207,20.4556,16.9333,10.3667,6.6333,6.5118,5.2892,41.88,39.5433,89.1,88.9333,69.1,70.2111,0.34,0.283,16.7,25.1,8.9,8.4,39.9594,30.3419,6.6937,4.4872,86.7,92.4,2392,2183,20.4,25.1
0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3202,0.3173,24.4444,18.2444,8.0111,7.4556,6.1089,5.0906,41.2923,39.1118,89.2667,88.4778,70.8556,69.9556,0.264,0.3,27.3,21.7,4.3,5.6,36.6391,38.9632,8.5399,8.0268,90.2,87.2,2275,2591,26.6,22.5
0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2892,0.292,22.68,27.7444,6.65,8.3111,3.8277,5.5445,32.524,38.2619,86.65,88.0889,68.27,69.7222,0.3,0.324,26.3,18.1,6.2,6.5,36.9427,40.2154,7.0064,10.2334,88.7,85.8,2431,2098,26.9,21.8
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2978,0.3106,25.4778,25.62,6.9444,8.71,5.3496,5.6059,39.0678,41.5033,88.2667,88.96,69.6556,70.24,0.304,0.276,23.1,27.4,6.7,4.5,36.2595,39.2989,9.9237,7.1956,86.8,90.3,2316,1859,25.3,31.7
1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2869,0.288,24.2091,24.5083,7.5727,6.4083,3.8088,4.2886,31.2331,37.4415,85.3455,87.5417,68.2364,69.5417,0.298,0.321,27.9,21.5,6.0,4.7,45.0413,39.1213,9.7107,9.6234,90.4,87.4,2277,1850,29.0,23.1
