"pitches","player_id","player_name","total_pitches","pitch_percent","ba","iso","babip","slg","woba","xwoba","xba","hits","abs","launch_speed","launch_angle","spin_rate","velocity","effective_speed","whiffs","swings","takes","eff_min_vel","release_extension","pos3_int_start_distance","pos4_int_start_distance","pos5_int_start_distance","pos6_int_start_distance","pos7_int_start_distance","pos8_int_start_distance","pos9_int_start_distance","pitcher_run_exp","run_exp","bat_speed","swing_length","pa","bip","singles","doubles","triples","hrs","so","k_percent","bb","bb_percent","api_break_z_with_gravity","api_break_z_induced","api_break_x_arm","api_break_x_batter_in","hyper_speed","bbdist","hardhit_percent","barrels_per_bbe_percent","barrels_per_pa_percent","release_pos_z","release_pos_x","plate_x","plate_z","obp","barrels_total","batter_run_value_per_100","xobp","xslg","pitcher_run_value_per_100","xbadiff","xobpdiff","xslgdiff","wobadiff","swing_miss_percent","arm_angle","attack_angle","attack_direction","swing_path_tilt","rate_ideal_attack_angle","intercept_ball_minus_batter_pos_x_inches","intercept_ball_minus_batter_pos_y_inches"
93,672782,"Gómez, Yoendrys",330,28.2,0.435,0.304,0.533,0.739,0.522,0.465,0.365,10,23,90.3,15.5,2539,87.1,87.89,13,43,50,0.8000000000000114,6.85,114,151,130,150,300,316,296,"-4.2","4.2","70.8","7.2",25,17,7,1,0,2,6,24,2,8,2.50624,0.55699,-0.37462,-0.22624,"92.7",187,47.05882352941176,17.647058823529413,12,5.41,-1.96,0.24,2.04,0.48,3,"4.516129032",0.416,0.686,"-4.516129032",0.07,0.064,0.053,0.057,30.2,"35.5",11.559483647815666,-4.443931435198625,32.475119531957745,0.5714285714285714,37.54493268203728,34.88159571893879
92,623465,"Phillips, Evan",92,100,0.2,0,0.286,0.2,0.225,0.24,0.204,4,20,84.6,10.1,2556,89.7,89.36,13,43,49,-0.29999999999999716,6.23,108,151,121,149,301,318,297,"2.055","-2.055","67.7","7.1",22,14,4,0,0,0,6,27.3,2,9.1,2.38022,0.50722,-0.33791,-0.31132,"90.0",127,28.57142857142857,0,0,5.51,-2.86,0.14,2.38,0.273,0,"-2.233695652",0.277,0.246,"2.233695652",-0.004,-0.0040000000000000036,-0.046,-0.015,30.2,"26.7",9.315259317385996,0.7500417586656172,30.429942544585185,0.5853658536585366,37.60617705617462,29.725095232885675
87,663562,"Davis, Noah",87,100,0.25,0.188,0.3,0.438,0.396,0.391,0.26,4,16,90.2,9.2,2356,87.3,86.05,5,25,62,-1.2999999999999972,5.54,103,151,124,150,299,315,293,"-1.401","1.401","69.9","7.5",21,11,3,0,0,1,5,23.8,2,9.5,2.76862,0.28747,0.10736,-0.27678,"91.5",163,45.45454545454545,9.090909090909092,4.761904761904762,5.51,-2.26,0.27,2.36,0.429,1,"1.610344828",0.436,0.422,"-1.610344828",-0.01,-0.007000000000000006,0.016,0.005,20,"27.0",11.273980019618126,-1.2256082289453385,30.880140119909896,0.5909090909090909,39.26491409686328,27.25995938090521
80,608717,"Stratton, Chris",411,19.5,0.2,0.467,0.143,0.667,0.401,0.363,0.201,3,15,93.7,9.6,2563,87.6,87.92,9,34,46,0.30000000000001137,6.42,116,151,130,150,297,316,296,"-1.569","1.569","69.3","7.3",17,9,0,1,0,2,6,35.3,2,11.8,2.55588,0.42888,0.226,0.002,"91.6",164,55.55555555555556,33.33333333333333,17.647058823529413,5.88,-2.03,-0.04,2.16,0.294,3,"1.96125",0.295,0.569,"-1.96125",-0.001,-0.0010000000000000009,0.098,0.038,26.5,"37.2",6.140476849426163,6.20572528485808,31.897503360534817,0.3333333333333333,37.25879569844459,24.90135629030184
58,702795,"Loutos, Ryan",58,100,0.308,0.308,0.3,0.615,0.452,0.544,0.423,4,13,96.6,8.1,1855,90.9,91.03,6,28,30,0.09999999999999432,6.32,106,150,129,148,301,315,293,"-1.556","1.556","70.0","7.0",16,11,2,1,0,1,2,12.5,2,12.5,2.44931,0.32596,0.79034,0.08759,"94.9",162,72.72727272727273,9.090909090909092,6.25,5.83,-1.51,0.06,2.41,0.438,1,"2.682758621",0.531,0.787,"-2.682758621",-0.115,-0.09300000000000003,-0.172,-0.092,21.4,"32.6",9.59006512903305,4.0501546203478735,31.508526156833902,0.6296296296296297,36.0959026104873,25.76374320272537
43,500743,"Rojas, Miguel",43,100,0.5,0.667,0.4,1.167,0.707,0.602,0.462,9,18,89.6,14.6,1242,47.2,45.75,2,28,15,-1.5,4.82,120,152,133,149,306,318,306,"-6.029","6.029","70.5","7.1",19,18,3,3,0,3,0,0,0,0,10.08279,1.37209,0.11163,-0.01767,"92.4",184,33.33333333333333,22.22222222222222,21.052631578947366,6.58,-1.33,-0.28,3.39,0.526,4,"14.020930233",0.49,0.955,"-14.020930233",0.038,0.03600000000000003,0.212,0.105,7.1,"45.4",18.87074595393867,-12.259308964132918,29.25057501524488,0.5416666666666666,33.78433085680332,37.16289661602558
37,570632,"Ureña, José",304,12.2,0.333,0.167,0.4,0.5,0.359,0.366,0.345,4,12,88.8,11,1999,92.3,91.84,2,26,11,-0.5,6.02,110,142,113,142,297,313,292,"-0.421","0.421","69.6","7.1",12,10,2,2,0,0,2,16.7,0,0,1.94919,0.74405,1.10135,-0.04568,"93.0",140,50,20,16.666666666666664,5.64,-2.96,0.05,2.26,0.333,2,"1.137837838",0.345,0.509,"-1.137837838",-0.012,-0.011999999999999955,-0.009,-0.007,7.7,"30.1",7.747460885512224,-0.8238875441807009,34.45463192136473,0.5769230769230769,35.85210178492478,27.882838544840205
34,656420,"Feyereisen, J.P.",81,42,0.615,0.308,0.7,0.923,0.668,0.493,0.444,8,13,85.1,10.5,2138,88.4,87.76,5,21,13,-0.6000000000000085,6.01,105,147,126,147,296,313,283,"-4.216","4.216","73.4","7.4",13,11,6,1,0,1,2,15.4,0,0,2.19088,0.77242,0.48324,-0.22735,"90.8",146,27.27272727272727,9.090909090909092,7.6923076923076925,6.1,-0.44,0.14,2.13,0.615,1,"12.4",0.444,0.707,"-12.4",0.171,0.17099999999999999,0.216,0.175,23.8,"45.3",11.19914205197309,-3.8036819586870454,31.51289978832121,0.5238095238095238,39.95653899664036,31.47384170688821
21,571771,"Hernández, Enrique",21,100,0.333,0.111,0.333,0.444,0.338,0.146,0.152,3,9,74.9,2.3,1142,48.8,46.59,1,11,10,-2.1999999999999957,4.3,120,151,132,151,302,328,308,"0.05","-0.05","70.9","7.2",9,9,2,1,0,0,0,0,0,0,9.21857,1.51143,-0.88667,0.20095,"89.1",106,11.11111111111111,0,0,6.89,-2.97,-0.36,3.12,0.333,0,"-0.238095238",0.152,0.181,"0.238095238",0.181,0.18100000000000002,0.263,0.192,9.1,"63.5",17.5692555301344,-12.123300959984311,30.160096914315666,0.45454545454545453,34.66735331991852,38.05145122678023
9,656629,"Kopech, Michael",9,100,0.25,0,0.333,0.25,0.222,0.43,0.447,1,4,94.5,34,2584,96.1,97.2,1,7,2,1.1000000000000085,7.1,95,149,131,149,296,321,302,"0.318","-0.318","70.2","6.5",4,3,1,0,0,0,1,25,0,0,1.12778,1.36667,0.67,-0.15667,"91.9",199,33.33333333333333,0,0,5.66,-2.36,-0.34,2.97,0.25,0,"-3.533333333",0.447,0.552,"3.533333333",-0.197,-0.197,-0.302,-0.208,14.3,"44.6",-0.42214586113310437,8.58042111749091,29.619331395867363,0.42857142857142855,36.69187768986456,25.636522962935306
